mjd,ra_deg,dec_deg,EL,elong,r,delta,utc
60996.29166666698,111.56589,9.82177,24.358009,122.2694,17.13276982462,16.5843071615257,2025-Nov-17 07:00
60996.3125,111.56517,9.8217,30.597798,122.2907,17.13289021549,16.5841290324377,2025-Nov-17 07:30
60996.33333333302,111.56445,9.82163,36.757321,122.312,17.13301060591,16.5839512809708,2025-Nov-17 08:00
60996.35416666698,111.56373,9.82155,42.777578,122.3332,17.13313099588,16.583773972852,2025-Nov-17 08:30
60996.375,111.56301,9.82148,48.573113,122.3545,17.13325138541,16.5835971674233,2025-Nov-17 09:00
60997.29166666698,111.53142,9.81834,25.205408,123.2781,17.13854809189,16.576036565008,2025-Nov-18 07:00
60997.3125,111.53068,9.81827,31.437107,123.2994,17.13866846201,16.5758619936023,2025-Nov-18 07:30
60997.33333333302,111.52994,9.8182,37.581585,123.3207,17.13878883168,16.5756878112944,2025-Nov-18 08:00
60997.35416666698,111.5292,9.81814,43.577043,123.342,17.13890920091,16.5755140830098,2025-Nov-18 08:30
60997.375,111.52846,9.81807,49.333183,123.3633,17.13902956969,16.5753408671439,2025-Nov-18 09:00
60998.29166666698,111.49606,9.81515,26.052915,124.2873,17.1443253636,16.5679374563605,2025-Nov-19 07:00
60998.3125,111.4953,9.81509,32.275684,124.3086,17.14444571298,16.5677665504066,2025-Nov-19 07:30
60998.33333333302,111.49455,9.81503,38.403981,124.3299,17.14456606191,16.5675960449099,2025-Nov-19 08:00
60998.35416666698,111.49379,9.81496,44.372982,124.3512,17.1446864104,16.5674260039731,2025-Nov-19 08:30
60998.375,111.49303,9.8149,50.087177,124.3725,17.14480675845,16.5672564850254,2025-Nov-19 09:00
60999.27083333302,111.46059,9.81226,20.634405,125.2757,17.14998131112,16.5601823911828,2025-Nov-20 06:30
60999.29166666698,111.45982,9.81221,26.900419,125.297,17.15010164021,16.5600149144077,2025-Nov-20 07:00
60999.3125,111.45904,9.81215,33.113389,125.3183,17.15022196886,16.5598477803383,2025-Nov-20 07:30
60999.33333333302,111.45827,9.81209,39.22431,125.3396,17.15034229707,16.5596810579603,2025-Nov-20 08:00
60999.35416666698,111.45749,9.81204,45.165097,125.3609,17.15046262483,16.5595148105326,2025-Nov-20 08:30
61000.27083333302,111.4235,9.80956,21.486584,126.2856,17.15575661381,16.5524375609741,2025-Nov-21 06:30
61000.29166666698,111.42271,9.80951,27.747806,126.3069,17.15587692218,16.5522739491503,2025-Nov-21 07:00
61000.3125,111.42192,9.80946,33.950071,126.3282,17.15599723011,16.5521106918445,2025-Nov-21 07:30
61000.33333333302,111.42112,9.80941,40.042362,126.3495,17.1561175376,16.5519478573318,2025-Nov-21 08:00
61000.35416666698,111.42033,9.80936,45.953077,126.3709,17.15623784465,16.5517855080059,2025-Nov-21 08:30
61001.27083333302,111.38555,9.80712,22.339257,127.2958,17.16153092232,16.5448791352346,2025-Nov-22 06:30
61001.29166666698,111.38475,9.80707,28.594957,127.3171,17.16165120999,16.5447194915985,2025-Nov-22 07:00
61001.3125,111.38394,9.80703,34.785576,127.3384,17.16177149721,16.5445602141752,2025-Nov-22 07:30
61001.33333333302,111.38313,9.80698,40.857916,127.3597,17.16189178399,16.5444013705064,2025-Nov-22 08:00
61001.35416666698,111.38231,9.80693,46.736587,127.381,17.16201207033,16.5442430221,2025-Nov-22 08:30
